query,response
What is the coverage for theft under the policy?,"We’ll 
only pay what is reasonable and necessary for these expenses.
How much am I covered for?
We’ll provide cover up to the amount shown in ‘What your cover includes’ on page 8"
What is the procedure for reporting an accident?,"We’ll 
only pay what is reasonable and necessary for these expenses.
How much am I covered for?
We’ll provide cover up to the amount shown in ‘What your cover includes’ on page 8"
What are the steps to follow if my car is stolen?,"The arbitrator’s decision will be final, and whoever doesn’t win will have to pay all costs and expenses.We’re here to support you when 
accidents happen, so we’ve put together some useful steps for you to follow to help make the process smoother.
1
Safety comes first
Stop at the scene of the accident and if there 
are any injuries or if any driver involved hasn’t stopped, call the police and emergency services"
What is the process for transferring the policy to a new owner?,"We’ll 
only pay what is reasonable and necessary for these expenses.
How much am I covered for?
We’ll provide cover up to the amount shown in ‘What your cover includes’ on page 8"
How do I update my address on the policy?,It is our responsibility to update your policy to the MID
What is the policy period and how is it determined?,"We’ll 
only pay what is reasonable and necessary for these expenses.
How much am I covered for?
We’ll provide cover up to the amount shown in ‘What your cover includes’ on page 8"
Are there any additional covers available?,This is so long as no other car insurance policy covers the cost
What is the process for lodging a complaint?,"You’ll also 
receive the following written communication from us, depending on how long it takes us to resolve your complaint.
Communication type When will you get this? What will it tell you?
Summary Resolution CommunicationIf we’ve been able to resolve your complaint to your satisfaction within 3 working days of receiving your complaint.It will let you know your complaint has been resolved and tell you about the Financial Ombudsman Service (FOS).
Acknowledgement If we’ve been unable to resolve your 
complaint to your satisfaction within 3 working days of receiving your complaint.It will let you know our complaint handling process and information about the Financial Ombudsman Service.
Unable to reach resolution within 8 weeks.If we’ve been unable to resolve your complaint within 8 weeks.It will let you know why we aren’t in a position to give you our final response and when we expect to be able to provide this"
What is the waiting period for certain covers?,This is so long as no other car insurance policy covers the cost
What happens if I miss a premium payment?,"If this happens, we want you to tell us"
What is the policy’s territorial coverage?,"
If you’re outside the territorial limits
If we’re dealing with your claim under sections 2 or 4 of your policy and the loss or damage 
happens outside the territorial limits, we’ll either:
>repay your travel costs up to £50 per day, up to a total of £500 per claim, or 
>treat your claim as if it happened within the 
territorial limits so long as:
•you can get your car back to the territorial 
limits for it to be repaired, or
•your car is written off, or is stolen and not 
recovered.
You’re not covered for
8We won’t provide you with a hire car if 
you’re only claiming for windscreen or glass damage.
Paying a deposit
When you collect your hire car, the hire car 
company may charge you a refundable deposit"
What is the process for renewing the policy online?,"We’ll 
only pay what is reasonable and necessary for these expenses.
How much am I covered for?
We’ll provide cover up to the amount shown in ‘What your cover includes’ on page 8"
Can I make changes to my policy online?,"
Changing your policy
You can make a temporary or permanent change to the policy at any time during the 
year"
What is the process for getting a duplicate policy document?,"This identification may be by type, information recorded in a registration document or in some other way.Car insurance details The document that:
>Identifies the policyholder.
>Sets out details of the cover chosen.
>Records the information the policyholder
has given us.
Car keys Physical key or device for 
smart access provided with your car by 
a manufacturer that allows you to access and/or move your car.
Certificate of motor insurance This document 
provides evidence that you have taken out the insurance you must have by law"
How is the premium amount calculated?,"We’ll 
only pay what is reasonable and necessary for these expenses.
How much am I covered for?
We’ll provide cover up to the amount shown in ‘What your cover includes’ on page 8"
What is the no-claim bonus?,"We’ll 
cover up to the amounts shown in ‘What your cover includes’ on page 8.
If you ask us to pay someone else, we’ll have no 
further responsibility to you once we’ve done this.
You’re not covered for
8Money.
8Credit or debit cards.
8Stamps.
8Tickets.
8Vouchers.
8Documents.
8Securities (such as share or Premium 
Bond certificates).
8Goods or samples for a trade or business.
8Any property that’s insured under any other policy.
Vandalism Promise
Included with:
Comp Comp+
If you claim for damage to your car that’s 
a result of vandalism, this won’t affect the 
No Claim Discount on this policy.
What happens if you claim
If you claim, you’ll need to:
>Pay the excess that applies to accidental 
damage claims when the car is unattended.
>Report the vandalism to the police"
What should I do if I lose my policy document?,"If you decide to contact them, you should do so within 6 months of our response letter"
What is the coverage for natural disasters?,"We’ll 
only pay what is reasonable and necessary for these expenses.
How much am I covered for?
We’ll provide cover up to the amount shown in ‘What your cover includes’ on page 8"
How do I add a new vehicle to my existing policy?,"
 >Wherever Comprehensive is  mentioned in this policy booklet,  this also applies to you.Page 3FAQs
How much will you pay if my car is damaged?
Where damage to your car is covered under 
your policy, we’ll pay the cost of repairing or 
replacing your car up to its UK market value"
What is the grace period for policy renewal?,"We’ll 
only pay what is reasonable and necessary for these expenses.
How much am I covered for?
We’ll provide cover up to the amount shown in ‘What your cover includes’ on page 8"
